nome
Astronomia
Ciências Contábeis
Ciência da Computação
Educação do Campo 
Engenharia Civil
Engenharia de Computação
Engenharia Elétrica 
Engenharia Física
Engenharia Mecânica
Engenharia Mecatrônica
Engenharia de Petróleo
Engenharia de Produção
Engenharia Química
Estatística
Física 
Matemática 
Química 
Sistemas de Informação
